timestamp,aot,sideslip,thrust,lift,drag,side,mx,my,mz,u,v,w,roll_deg,pitch_deg,yaw_deg,p,q,r
1782337999.845215,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.039240002632140975,-4.6055023310609404e-12,-3.3076842526261843e-09,6.724659485237039e-09,-89.99999517032317,0.0,0.0,0.0,0.0
1782337999.8617883,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.07847804576158496,-8.352786503353486e-12,-6.615974072470137e-09,2.4964148250369693e-08,-89.9999951703236,0.0,-5.19881101907838e-12,2.8069926826439497e-08,-2.1034552004759074e-09
1782338000.1523752,3.1415924849867567,4.254171870030218e-10,0.0,-0.010212576549753372,-0.2538058701845411,2.82810872092165e-12,2.1791780486987893e-10,0.006603531364660771,5.2873022304259e-11,-0.11771412193775009,-5.007761062528905e-11,-1.984695839512175e-08,0.14458114963951357,-89.99999034062374,-0.14458112526491293,-1.55941673364125e-11,8.420272479001258e-08,-6.309837135712866e-09
1782338000.157381,3.1415599235087375,4.366748637754968e-10,0.0,-0.018110770817220477,-0.45045017632374423,5.152196890743084e-12,2.5480213295164366e-08,0.01171772406615325,4.782444410780232e-09,-0.15682134032163145,-6.847993745871907e-11,-5.132775181817039e-06,0.14829673922260656,-89.99999034062296,-0.1482967330874947,-1.9664822305247762e-08,8.842191891738808e-05,-4.733035566963285e-07
1782338000.1618874,3.141520168687239,4.370988365926205e-10,0.0,-0.028212903949191678,-0.7023884390782789,8.041820575661304e-12,8.744616906052219e-08,0.018267474136410923,1.6372616462013615e-08,-0.19582827389001245,-8.559631091412961e-11,-1.4194593375129781e-05,0.14829673922260656,-89.99999034062296,-0.1482967330874947,-5.4468612594522835e-08,0.00024506807676500194,-1.2989270671361574e-06
1782338000.165887,3.141472047769814,1.0986219959643802e-08,0.0,-0.04047898513890713,-1.0089456905019125,2.90352393586604e-10,2.084741032992272e-07,0.02623333139361718,3.8912001307711785e-08,-0.23470729588985398,-2.578545997532598e-09,-2.8307066013145317e-05,3.7280566846840313,-89.9999903201718,-3.728056677867263,-1.0862131384738461e-07,0.000489121186545481,-2.5830277846746487e-06
1782338000.216007,3.1414097776089034,3.47560330576821e-08,0.0,-0.05485266388423379,-1.369288428659986,1.2466655120321762e-09,4.1593004704389e-07,0.03559134018014272,7.739589144109623e-08,-0.27343109223081447,-9.503380239486055e-09,-5.0003979754964505e-05,0.3632283626248797,-89.99968606497575,-0.363228391089521,-1.861932188002202e-07,0.0008393719326662047,-4.423940629908237e-06
1782338000.220507,3.14133838136623,6.879733600340713e-08,0.0,-0.07127886800896749,-1.7824397673183214,3.2123956928905717e-09,7.41965254938857e-07,0.04631334765569427,1.3774168749776735e-07,-0.31197279607282297,-2.1462897969179448e-08,-7.932601825833738e-05,0.36201001184663667,-89.99937695980495,-0.36201005604517666,-2.911504311273149e-07,0.001314199878819522,-6.918017212431672e-06
1782338000.2245128,3.141257781373686,1.0310181851053407e-07,0.0,-0.08969049271961972,-2.247276350908331,6.069953898987649e-09,1.2232734196246472e-06,0.05836703125374506,2.2688449287029834e-07,-0.35030597261199686,-3.611718483647807e-08,-0.0001173077417490224,0.36034866243659597,-89.99906302495474,-0.36034875007833234,-4.272835175032805e-07,0.001931554288574962,-1.0159478218881292e-05
1782338000.2285128,3.1411627421781874,1.5580841660682157e-07,0.0,-0.10999815893027255,-2.762530006673152,1.1276754676058343e-08,1.9004940904484207e-06,0.07171603680368757,3.520074705646395e-07,-0.38840481199989463,-6.051674435264218e-08,-0.0001669796712886282,0.3278001068230591,-89.99844481992113,-0.32779994430724885,-5.981919309393865e-07,0.002708873012901182,-1.4240057043771032e-05
1782338000.2435524,3.141053211110506,2.3227973390342652e-07,0.0,-0.13211044984675252,-3.326805661298969,2.0246604685364052e-08,2.8180291247574683e-06,0.08632035612301447,5.210398973705361e-07,-0.4262441301090425,-9.900788752518528e-08,-0.00022993421263115956,0.3058893992744535,-89.99751751282612,-0.3058890313154972,-8.072883242274713e-07,0.0036629554812486866,-1.9248393366456737e-05
1782338000.2475588,3.1409292487753087,3.433571216471711e-07,0.0,-0.15592778198024587,-3.9385848154661676,3.543484574743007e-08,4.023521783249143e-06,0.10213649216056456,7.42206821977244e-07,-0.46379939802505016,-1.5924886137076239e-07,-0.00030768679874311743,0.30159819135808746,-89.9962811007716,-0.3015976701873848,-1.0577989692190904e-06,0.004809930454348337,-2.5269897010187193e-05
1782338000.251578,3.140790936286561,4.781253889848763e-07,0.0,-0.18134301891054133,-4.59623592174768,5.758678253953857e-08,5.567691661265493e-06,0.11911776581374141,1.0249345435945207e-06,-0.5010469207922623,-2.3956333089323057e-07,-0.0004016980721942212,0.2963623294506559,-89.99473558627751,-0.2963622663125235,-1.3526134462024936e-06,0.006165201309389834,-3.238638975531725e-05
1782338000.256595,3.1406383730911345,6.426907255043373e-07,0.0,-0.2082421220774954,-5.29802114653252,8.9234415656995e-08,7.503530179523057e-06,0.13721453047287038,1.3785286824220097e-06,-0.5379637479497618,-3.457444688912203e-07,-0.0005133684694869652,0.2942266907753077,-89.99288096850275,-0.29422743096742787,-1.6944415888397386e-06,0.007743385154198228,-4.0675958644753815e-05
1782338000.2696016,3.1404716711552374,8.474512289220075e-07,0.0,-0.23650496887514563,-6.042107484122762,1.3420272183579035e-07,9.885904432209648e-06,0.1563745004787201,1.812267547765964e-06,-0.5745278224905149,-4.86884615129554e-07,-0.0006440358669410323,0.2971530493451316,-89.9907172441436,-0.29715433499054794,-2.0857862428345213e-06,0.009558267890781088,-5.021274386453005e-05
1782338000.2736123,3.1402855597157466,1.1002656401851175e-06,0.0,-0.26596931867716933,-6.826554669715457,1.9688092204623438e-07,1.2770862146940446e-05,0.17654270820670032,2.3356117888769465e-06,-0.6107179765165437,-6.719525794183319e-07,-0.0007982661804859462,0.2964436460609204,-89.98793531602098,-0.2964455194788722,-2.5285622234949613e-06,0.01162276044412136,-6.106652980005872e-05
